,headline,clicks,impressions,click_rate,processed_headline_nostpw,processed_headline_stpw,headline_tokens,entities
1463,video loved within seconds random dude explaining magic birth control,62.0,2100.0,33.87096774193548,video loved within seconds random dude explaining magic birth control,video loved within seconds random dude explaining magic birth control ,video loved within seconds random dude explaining magic birth control,[video]
1464,video loved within first seconds random guy explaining magic birth control,52.0,1962.0,37.73076923076923,video loved within first seconds random guy explaining magic birth control,video loved within first seconds random guy explaining magic birth control ,video loved within first seconds random guy explaining magic birth control,[video]
1465,video loved within seconds dude apron explaining magic birth control,44.0,2061.0,46.84090909090909,video loved within seconds dude apron explaining magic birth control,video loved within seconds dude apron explaining magic birth control ,video loved within seconds dude apron explaining magic birth control,[video]
1466,roads yes roads might undemocratic thing america,34.0,2738.0,80.52941176470588,roads yes roads might undemocratic thing america,roads yes roads might undemocratic thing america ,roads yes roads might undemocratic thing america,[roads]
1467,innovative new take transit going leave salivating for buses ,23.0,2826.0,122.8695652173913,innovative new take transit going leave salivating buses,innovative new take transit going leave salivating for buses ,innovative new take transit going leave salivating for buses ,[transit]
1468,he's trying make buses sexy working,40.0,2862.0,71.55,he's trying make buses sexy working,he's trying make buses sexy working ,he's trying make buses sexy working,"[he, buses]"
1469,please help think i'm turning four year old can't stop talking buses,30.0,2848.0,94.93333333333334,please help think i'm turning four year old can't stop talking buses,please help think i'm turning four year old can't stop talking buses ,please help think i'm turning four year old can't stop talking buses,"[help, i]"
1470,people lives good do never see them here s one story ,59.75,2826.0,47.29707112970711,people lives good never see one story,people lives good do never see them here s one story ,people lives good do never see them here s one story ,"[people, story]"
1471,truth sexual objectification anything sexy ,47.0,2694.0,57.319148936170215,truth sexual objectification anything sexy,truth sexual objectification anything sexy ,truth sexual objectification anything sexy ,[]
1472,next minutes probably piss off hopefully right reason ,51.0,2716.0,53.254901960784316,next minutes probably piss hopefully right reason,next minutes probably piss off hopefully right reason ,next minutes probably piss off hopefully right reason ,[minutes]
1473,what's difference sexual subject sexual object lot ,52.0,2773.0,53.32692307692308,what's difference sexual subject sexual object lot,what's difference sexual subject sexual object lot ,what's difference sexual subject sexual object lot ,[]
1474,totally cool women and men sexual subjects objects um no ,31.0,2672.0,86.19354838709677,totally cool women men sexual subjects objects um,totally cool women and men sexual subjects objects um no ,totally cool women and men sexual subjects objects um no ,[women]
1475,say 'sex sells' exactly selling ,22.0,2840.0,129.0909090909091,say 'sex sells' exactly selling,say 'sex sells' exactly selling ,say 'sex sells' exactly selling ,[]
1476,welcome sexual objectification ,39.0,2817.0,72.23076923076923,welcome sexual objectification,welcome sexual objectification ,welcome sexual objectification ,[]
1477,needed better excuse start cooking meals home here's one,72.4,3760.1,51.93508287292817,needed better excuse start cooking meals home here's one,needed better excuse start cooking meals home here's one ,needed better excuse start cooking meals home here's one,[]
1478,see what's quite right h m posters ,163.0,2944.0,18.061349693251532,see what's quite right h posters,see what's quite right h m posters ,see what's quite right h m posters ,[what]
1479,here's fact sharks humans stay every hour hour today,112.66666666666667,3022.3333333333335,26.825443786982248,here's fact sharks humans stay every hour hour today,here's fact sharks humans stay every hour hour today ,here's fact sharks humans stay every hour hour today,"[fact, humans]"
1480,see artist adds nice little photoshop reminder h m adverts,114.0,2785.0,24.42982456140351,see artist adds nice little photoshop reminder h adverts,see artist adds nice little photoshop reminder h m adverts ,see artist adds nice little photoshop reminder h m adverts,[artist]
1481,set prove happiness could inversely proportional carbon footprint,29.0,3090.0,106.55172413793103,set prove happiness could inversely proportional carbon footprint,set prove happiness could inversely proportional carbon footprint ,set prove happiness could inversely proportional carbon footprint,[set]
1482,person learn mile hike donkey,37.0,3092.0,83.56756756756756,person learn mile hike donkey,person learn mile hike donkey ,person learn mile hike donkey,[person]
1483,kind person walks miles prove point favorite kind that's what ,40.0,3034.0,75.85,kind person walks miles prove point favorite kind that's,kind person walks miles prove point favorite kind that's what ,kind person walks miles prove point favorite kind that's what ,"[person, that]"
1484,prove humans could happier simpler lives came elaborate experiment,69.0,3053.0,44.2463768115942,prove humans could happier simpler lives came elaborate experiment,prove humans could happier simpler lives came elaborate experiment ,prove humans could happier simpler lives came elaborate experiment,"[prove, humans, experiment]"
1485,science reasons redheads redhead thing redhead well,117.16666666666667,2742.0,23.402560455192035,science reasons redheads redhead thing redhead well,science reasons redheads redhead thing redhead well ,science reasons redheads redhead thing redhead well,"[redheads, thing]"
1486,ever wonder hard eat one french fry ,62.0,3447.0,55.596774193548384,ever wonder hard eat one french fry,ever wonder hard eat one french fry ,ever wonder hard eat one french fry ,[]
1487,david country goliaths overcame,12.666666666666666,2200.6666666666665,173.73684210526315,david country goliaths overcame,david country goliaths overcame ,david country goliaths overcame,[country]
1488,reply star gives gay stereotype question brilliant,117.0,2675.0,22.863247863247864,reply star gives gay stereotype question brilliant,reply star gives gay stereotype question brilliant ,reply star gives gay stereotype question brilliant,[star]
1489,straight journalist asks gay stereotype question gets epic response,142.0,2601.0,18.316901408450704,straight journalist asks gay stereotype question gets epic response,straight journalist asks gay stereotype question gets epic response ,straight journalist asks gay stereotype question gets epic response,"[journalist, question]"
1490,straight guy says i'd offended gay listen actor's response ,151.0,2576.0,17.05960264900662,straight guy says i'd offended gay listen actor's response,straight guy says i'd offended gay listen actor's response ,straight guy says i'd offended gay listen actor's response ,"[guy, i]"
1491,straight reporter says i'd offended gay actor's response epic ,124.2,2375.2,19.123993558776167,straight reporter says i'd offended gay actor's response epic,straight reporter says i'd offended gay actor's response epic ,straight reporter says i'd offended gay actor's response epic ,"[reporter, i]"
1492,nutrition necessarily nutrients calories about ,43.666666666666664,3077.0,70.46564885496184,nutrition necessarily nutrients calories,nutrition necessarily nutrients calories about ,nutrition necessarily nutrients calories about ,[nutrition]
1493, don't ask tell supported secret finally recognized ,27.0,2465.0,91.29629629629629,ask tell supported secret finally recognized, don't ask tell supported secret finally recognized , don't ask tell supported secret finally recognized ,[tell]
1494,men women allowed onto military bases husbands wives were ,44.0,2395.0,54.43181818181818,men women allowed onto military bases husbands wives,men women allowed onto military bases husbands wives were ,men women allowed onto military bases husbands wives were ,[women]
1495, don't ask tell ended id card makes real families,32.0,2459.0,76.84375,ask tell ended id card makes real families, don't ask tell ended id card makes real families , don't ask tell ended id card makes real families,"[tell, card]"
1496,governor proud budget student wants teach lesson ,51.0,2328.0,45.64705882352941,governor proud budget student wants teach lesson,governor proud budget student wants teach lesson ,governor proud budget student wants teach lesson ,[student]
1497,powerful politician talks budget student wants teach lesson ,43.0,2313.0,53.7906976744186,powerful politician talks budget student wants teach lesson,powerful politician talks budget student wants teach lesson ,powerful politician talks budget student wants teach lesson ,[student]
1498,governor proud accomplishments student something teach him ,32.0,2322.0,72.5625,governor proud accomplishments student something teach,governor proud accomplishments student something teach him ,governor proud accomplishments student something teach him ,"[accomplishments, something]"
1499,guy needs clue member declares 'great' billion poverty ,74.75,2417.75,32.34448160535117,guy needs clue member declares 'great' billion poverty,guy needs clue member declares 'great' billion poverty ,guy needs clue member declares 'great' billion poverty ,[guy]
1500,d ya ever think guys attention ,82.75,3475.25,41.996978851963746,ya ever think guys attention,d ya ever think guys attention ,d ya ever think guys attention ,"[ya, guys]"
1501,corp that s trying dodge accountability chevron s got thing ,30.0,3619.75,120.65833333333333,corp trying dodge accountability chevron got thing,corp that s trying dodge accountability chevron s got thing ,corp that s trying dodge accountability chevron s got thing ,"[corp, that]"
1502,really need watch maya angelou honor nelson mandela worth time ,73.0,3683.0,50.45205479452055,really need watch maya angelou honor nelson mandela worth time,really need watch maya angelou honor nelson mandela worth time ,really need watch maya angelou honor nelson mandela worth time ,[]
1503,watch maya angelou immortalize great nelson mandela less five minutes,59.0,3678.0,62.33898305084746,watch maya angelou immortalize great nelson mandela less five minutes,watch maya angelou immortalize great nelson mandela less five minutes ,watch maya angelou immortalize great nelson mandela less five minutes,[angelou]
1504,take five minutes see maya angelou say things nelson mandela,78.0,3599.0,46.14102564102564,take five minutes see maya angelou say things nelson mandela,take five minutes see maya angelou say things nelson mandela ,take five minutes see maya angelou say things nelson mandela,"[angelou, things]"
1505,dept state asked maya angelou say things him said unforgettable ,91.2,3365.4,36.901315789473685,dept state asked maya angelou say things said unforgettable,dept state asked maya angelou say things him said unforgettable ,dept state asked maya angelou say things him said unforgettable ,"[state, angelou, him]"
1506,watch senator smack deniers extraordinary commentary,68.0,2753.0,40.48529411764706,watch senator smack deniers extraordinary commentary,watch senator smack deniers extraordinary commentary ,watch senator smack deniers extraordinary commentary,[deniers]
1507,watch clever senator smack deniers seconds extraordinary commentary,57.0,2662.0,46.70175438596491,watch clever senator smack deniers seconds extraordinary commentary,watch clever senator smack deniers seconds extraordinary commentary ,watch clever senator smack deniers seconds extraordinary commentary,[deniers]
1508,watch clever senator smack deniers extraordinary commentary,61.0,2732.25,44.790983606557376,watch clever senator smack deniers extraordinary commentary,watch clever senator smack deniers extraordinary commentary ,watch clever senator smack deniers extraordinary commentary,[]
1509,wow want guy's life,34.25,2173.75,63.46715328467153,wow want guy's life,wow want guy's life ,wow want guy's life,[]
1510,like say goodbye kids every single weekend,21.0,2056.0,97.9047619047619,like say goodbye kids every single weekend,like say goodbye kids every single weekend ,like say goodbye kids every single weekend,[]
1511,single dad shows us heartache looks like every time kids leave,41.0,2046.0,49.90243902439025,single dad shows us heartache looks like every time kids leave,single dad shows us heartache looks like every time kids leave ,single dad shows us heartache looks like every time kids leave,"[dad, heartache, kids]"
1512,single dad gets creative lonely moments kids' visitation ends,75.6,2153.4,28.484126984126988,single dad gets creative lonely moments kids' visitation ends,single dad gets creative lonely moments kids' visitation ends ,single dad gets creative lonely moments kids' visitation ends,"[dad, visitation]"
1513,single dad shows us saying goodbye kids really feels,46.0,2080.0,45.21739130434783,single dad shows us saying goodbye kids really feels,single dad shows us saying goodbye kids really feels ,single dad shows us saying goodbye kids really feels,"[dad, us, kids]"
1514,screw hollywood definition beauty we're changing one selfie time,26.0,2035.25,78.27884615384616,screw hollywood definition beauty we're changing one selfie time,screw hollywood definition beauty we're changing one selfie time ,screw hollywood definition beauty we're changing one selfie time,[we]
1515,missing women syrian peace talks,16.0,2185.0,136.5625,missing women syrian peace talks,missing women syrian peace talks ,missing women syrian peace talks,[]
1516,something's quite right h m posters,158.0,2835.0,17.943037974683545,something's quite right h posters,something's quite right h m posters ,something's quite right h m posters,[something]
1517,snl amusingly mock victoria's secret they're confused breasts,120.0,2935.0,24.458333333333332,snl amusingly mock victoria's secret they're confused breasts,snl amusingly mock victoria's secret they're confused breasts ,snl amusingly mock victoria's secret they're confused breasts,"[snl, they]"
1518, women live edge something terrifying,56.5,2611.25,46.216814159292035,women live edge something terrifying, women live edge something terrifying , women live edge something terrifying,[women]
1519,chinese teenagers locked playing internet much try that ,33.0,2464.75,74.68939393939394,chinese teenagers locked playing internet much try,chinese teenagers locked playing internet much try that ,chinese teenagers locked playing internet much try that ,[teenagers]
1520,whole new way think stress changes everything we've taught,67.25,2489.5,37.01858736059479,whole new way think stress changes everything we've taught,whole new way think stress changes everything we've taught ,whole new way think stress changes everything we've taught,"[way, stress, we]"
1521,nancy grace debates loses,65.5,2439.5,37.2442748091603,nancy grace debates loses,nancy grace debates loses ,nancy grace debates loses,[debates]
1522,nancy grace debates and loses ,88.0,2457.0,27.920454545454547,nancy grace debates loses,nancy grace debates and loses ,nancy grace debates and loses ,[]
1523,nurse uses special gift help patients cope pain,67.5,2386.0,35.34814814814815,nurse uses special gift help patients cope pain,nurse uses special gift help patients cope pain ,nurse uses special gift help patients cope pain,"[nurse, patients]"
1524,hashtag sparked movement launched app might end sexism advertising,54.0,2116.75,39.199074074074076,hashtag sparked movement launched app might end sexism advertising,hashtag sparked movement launched app might end sexism advertising ,hashtag sparked movement launched app might end sexism advertising,"[movement, app]"
1525,china deals internet addicted teens kind shocking maybe good idea ,111.25,2080.0,18.696629213483146,china deals internet addicted teens kind shocking maybe good idea,china deals internet addicted teens kind shocking maybe good idea ,china deals internet addicted teens kind shocking maybe good idea ,[teens]
1526, minute numbers income feel colder polar vortex,26.0,2043.5,78.59615384615384,minute numbers income feel colder polar vortex, minute numbers income feel colder polar vortex , minute numbers income feel colder polar vortex,[income]
1527,come adorable orangutans stay something know them ,49.0,3230.0,65.91836734693878,come adorable orangutans stay something know,come adorable orangutans stay something know them ,come adorable orangutans stay something know them ,"[orangutans, something]"
1528,furry friends sumatra could use little attention,29.0,3196.0,110.20689655172414,furry friends sumatra could use little attention,furry friends sumatra could use little attention ,furry friends sumatra could use little attention,[sumatra]
1529,let goofiness fool you there's something serious going here ,36.0,3258.0,90.5,let goofiness fool there's something serious going,let goofiness fool you there's something serious going here ,let goofiness fool you there's something serious going here ,[goofiness]
1530,congress saw really feels like us ,124.33333333333333,7363.333333333333,59.22252010723861,congress saw really feels like us,congress saw really feels like us ,congress saw really feels like us ,[congress]
1531,sorry what every piece plastic ever made still exists today ,32.5,4096.25,126.03846153846153,sorry every piece plastic ever made still exists today,sorry what every piece plastic ever made still exists today ,sorry what every piece plastic ever made still exists today ,[plastic]
1532,company something really puzzling beach chicago think made point,61.8,2021.6,32.711974110032365,company something really puzzling beach chicago think made point,company something really puzzling beach chicago think made point ,company something really puzzling beach chicago think made point,[something]
1533,company something really puzzling beach think made point,73.0,2025.0,27.73972602739726,company something really puzzling beach think made point,company something really puzzling beach think made point ,company something really puzzling beach think made point,[something]
1534,company something eye opening beach think made point,47.0,1974.0,42.0,company something eye opening beach think made point,company something eye opening beach think made point ,company something eye opening beach think made point,[beach]
1535,huge company looks big fine laughs laughs laughs,41.125,2913.125,70.83586626139818,huge company looks big fine laughs laughs laughs,huge company looks big fine laughs laughs laughs ,huge company looks big fine laughs laughs laughs,"[company, laughs]"
1536,us trying sneak one biggest corporate power grabs time,69.0,2555.0,37.028985507246375,us trying sneak one biggest corporate power grabs time,us trying sneak one biggest corporate power grabs time ,us trying sneak one biggest corporate power grabs time,[]
1537,top secret agreement one biggest corporate power grabs time,58.0,2652.0,45.724137931034484,top secret agreement one biggest corporate power grabs time,top secret agreement one biggest corporate power grabs time ,top secret agreement one biggest corporate power grabs time,[]
1538,songs matter like this know country singer grammy,95.25,3355.5,35.22834645669291,songs matter like know country singer grammy,songs matter like this know country singer grammy ,songs matter like this know country singer grammy,"[matter, this]"
1539,truth warm weather we've actually feeling winter,68.5,3339.5,48.75182481751825,truth warm weather we've actually feeling winter,truth warm weather we've actually feeling winter ,truth warm weather we've actually feeling winter,[we]
1540,dr robert wanted man uganda seeing action wonder why ,48.166666666666664,1902.3333333333333,39.49480968858131,dr robert wanted man uganda seeing action wonder,dr robert wanted man uganda seeing action wonder why ,dr robert wanted man uganda seeing action wonder why ,"[robert, uganda]"
1541,bette midler s pet peeve made new york city better place live,56.25,2065.25,36.715555555555554,bette midler pet peeve made new york city better place live,bette midler s pet peeve made new york city better place live ,bette midler s pet peeve made new york city better place live,"[peeve, city, place]"
1542,two boys understand well many girls go look mirror,91.0,2665.125,29.287087912087912,two boys understand well many girls go look mirror,two boys understand well many girls go look mirror ,two boys understand well many girls go look mirror,"[boys, girls, mirror]"
1543,would much nicer politicians stayed women's personal business parts stuff,41.0,2014.0,49.1219512195122,would much nicer politicians stayed women's personal business parts stuff,would much nicer politicians stayed women's personal business parts stuff ,would much nicer politicians stayed women's personal business parts stuff,[politicians]
1544,open letter men think know what's best woman woman ,84.0,2106.0,25.071428571428573,open letter men think know what's best woman woman,open letter men think know what's best woman woman ,open letter men think know what's best woman woman ,"[men, what]"
1545,old dudes state legislatures trying control women woman wrote nice letter ,55.0,2127.0,38.67272727272727,old dudes state legislatures trying control women woman wrote nice letter,old dudes state legislatures trying control women woman wrote nice letter ,old dudes state legislatures trying control women woman wrote nice letter ,[legislatures]
1546,dear senator tried taking away women's rights might healthier ,41.0,2048.0,49.951219512195124,dear senator tried taking away women's rights might healthier,dear senator tried taking away women's rights might healthier ,dear senator tried taking away women's rights might healthier ,[senator]
1547,robert wanted man uganda seeing action wonder why ,46.0,2128.0,46.26086956521739,robert wanted man uganda seeing action wonder,robert wanted man uganda seeing action wonder why ,robert wanted man uganda seeing action wonder why ,"[robert, uganda]"
1548,dr robert wanted man uganda seeing action surprise why ,65.0,2016.0,31.015384615384615,dr robert wanted man uganda seeing action surprise,dr robert wanted man uganda seeing action surprise why ,dr robert wanted man uganda seeing action surprise why ,"[robert, uganda]"
1549,dr robert wanted man uganda seeing action there's question why ,40.0,2020.0,50.5,dr robert wanted man uganda seeing action there's question,dr robert wanted man uganda seeing action there's question why ,dr robert wanted man uganda seeing action there's question why ,"[robert, uganda]"
1550,split screen look growing rich vs growing poor,118.0,3376.75,28.616525423728813,split screen look growing rich vs growing poor,split screen look growing rich vs growing poor ,split screen look growing rich vs growing poor,[screen]
1551,nfl would never let super bowl ad air we're gonna show it racism real ,114.25,1890.5,16.547045951859957,nfl would never let super bowl ad air we're gonna show racism real,nfl would never let super bowl ad air we're gonna show it racism real ,nfl would never let super bowl ad air we're gonna show it racism real ,"[nfl, we, it]"
1552,using horrible racial slur long time probably realize awful,119.0,1903.0,15.991596638655462,using horrible racial slur long time probably realize awful,using horrible racial slur long time probably realize awful ,using horrible racial slur long time probably realize awful,[]
1553,open letter men think know what's best woman does ,73.0,2416.0,33.0958904109589,open letter men think know what's best woman,open letter men think know what's best woman does ,open letter men think know what's best woman does ,"[men, what, woman]"
1554,dear men think know what's best woman woman thank you ,80.0,2406.0,30.075,dear men think know what's best woman woman thank,dear men think know what's best woman woman thank you ,dear men think know what's best woman woman thank you ,"[men, what, woman]"
1555,advertisers fooling think food natural not ,32.4,3412.8,105.33333333333334,advertisers fooling think food natural,advertisers fooling think food natural not ,advertisers fooling think food natural not ,"[advertisers, food]"
1556,every person earth supposed these exactly ,60.25,3181.25,52.80082987551867,every person earth supposed exactly,every person earth supposed these exactly ,every person earth supposed these exactly ,[earth]
1557,kid ad aired tv fully get now want us watch again ,114.25,2885.25,25.25382932166302,kid ad aired tv fully get want us watch,kid ad aired tv fully get now want us watch again ,kid ad aired tv fully get now want us watch again ,"[ad, us]"
1558,amazing people expect children live past kindergarten,38.25,3398.5,88.84967320261438,amazing people expect children live past kindergarten,amazing people expect children live past kindergarten ,amazing people expect children live past kindergarten,"[people, children]"
1559,know roller coasters go seconds well horrifying opposite,62.666666666666664,2740.0,43.72340425531915,know roller coasters go seconds well horrifying opposite,know roller coasters go seconds well horrifying opposite ,know roller coasters go seconds well horrifying opposite,[coasters]
1560,change life lives friends mere seconds good way,19.0,2718.5,143.07894736842104,change life lives friends mere seconds good way,change life lives friends mere seconds good way ,change life lives friends mere seconds good way,[life]
1561,advertisers tricking think food natural healthy not ,31.0,3374.0,108.83870967741936,advertisers tricking think food natural healthy,advertisers tricking think food natural healthy not ,advertisers tricking think food natural healthy not ,"[advertisers, food, natural]"
1562,advertisers lying say food natural not ,32.0,3392.0,106.0,advertisers lying say food natural,advertisers lying say food natural not ,advertisers lying say food natural not ,"[advertisers, food]"
1563,simple idea like actually works helps people survive everybody wins,33.0,3834.0,116.18181818181819,simple idea like actually works helps people survive everybody wins,simple idea like actually works helps people survive everybody wins ,simple idea like actually works helps people survive everybody wins,"[idea, people, everybody]"
1564,simple idea like actually works helps people get by everybody wins,43.0,3767.0,87.6046511627907,simple idea like actually works helps people get everybody wins,simple idea like actually works helps people get by everybody wins ,simple idea like actually works helps people get by everybody wins,"[idea, people]"
1565,simple idea like actually works helps people feed families everybody wins,37.0,3949.0,106.72972972972973,simple idea like actually works helps people feed families everybody wins,simple idea like actually works helps people feed families everybody wins ,simple idea like actually works helps people feed families everybody wins,"[idea, people, everybody]"
1566,perfect reply girl give question what's favorite position ,193.5,3597.5,18.59173126614987,perfect reply girl give question what's favorite position,perfect reply girl give question what's favorite position ,perfect reply girl give question what's favorite position ,"[girl, what, position]"
1567,men think know what's best woman woman thank you ,81.5,3370.5,41.355828220858896,men think know what's best woman woman thank,men think know what's best woman woman thank you ,men think know what's best woman woman thank you ,"[men, what, woman]"
1568,men think know what's best woman does thank you ,89.0,3530.0,39.662921348314605,men think know what's best woman thank,men think know what's best woman does thank you ,men think know what's best woman does thank you ,"[men, what]"
1569,folks think know what's best woman does thank you ,67.0,3364.0,50.208955223880594,folks think know what's best woman thank,folks think know what's best woman does thank you ,folks think know what's best woman does thank you ,"[folks, what]"
1570,melinda gates idea many people world problem think,71.66666666666667,3841.0,53.5953488372093,melinda gates idea many people world problem think,melinda gates idea many people world problem think ,melinda gates idea many people world problem think,"[gates, problem]"
1571,meet guy who's inspired millions raw beautiful portraits,68.16666666666667,3457.5,50.72127139364303,meet guy who's inspired millions raw beautiful portraits,meet guy who's inspired millions raw beautiful portraits ,meet guy who's inspired millions raw beautiful portraits,[]
1572,math stunning sometimes full lies times especially calculating beauty ,37.0,3431.0,92.72972972972973,math stunning sometimes full lies times especially calculating beauty,math stunning sometimes full lies times especially calculating beauty ,math stunning sometimes full lies times especially calculating beauty ,[math]
1573, years old veteran widow fought country fighting her ,44.0,2508.0,57.0,years old veteran widow fought country fighting, years old veteran widow fought country fighting her , years old veteran widow fought country fighting her ,[widow]
1574,country solved lot things jobs education growing middle class one ,39.75,2522.25,63.45283018867924,country solved lot things jobs education growing middle class one,country solved lot things jobs education growing middle class one ,country solved lot things jobs education growing middle class one ,[country]
1575,up comet got probed ,9.0,1432.0,159.11111111111111,comet got probed,up comet got probed ,up comet got probed ,[]
1576,let rip roarin' toe tappin' tune clue dirty problem north,26.0,3547.0,136.42307692307693,let rip roarin' toe tappin' tune clue dirty problem north,let rip roarin' toe tappin' tune clue dirty problem north ,let rip roarin' toe tappin' tune clue dirty problem north,[tune]
1577,one best points i've ever heard made single word,194.25,4997.25,25.725868725868725,one best points i've ever heard made single word,one best points i've ever heard made single word ,one best points i've ever heard made single word,"[points, i]"
1578, cough cough fake johnny cash finding hard sing due dust ,13.0,3369.0,259.15384615384613,cough cough fake johnny cash finding hard sing due dust, cough cough fake johnny cash finding hard sing due dust , cough cough fake johnny cash finding hard sing due dust ,"[cough, cash]"
1579,smart dude takes racism facts wild accusations facts ,50.8,2829.0,55.688976377952756,smart dude takes racism facts wild accusations facts,smart dude takes racism facts wild accusations facts ,smart dude takes racism facts wild accusations facts ,[dude]
1580,check new lyrics song likely sing along bar,19.0,3569.0,187.8421052631579,check new lyrics song likely sing along bar,check new lyrics song likely sing along bar ,check new lyrics song likely sing along bar,[]
1581,comedian proves laughing race jokes funnier race jokes,143.28571428571428,3453.0,24.098703888334995,comedian proves laughing race jokes funnier race jokes,comedian proves laughing race jokes funnier race jokes ,comedian proves laughing race jokes funnier race jokes,[comedian]
1582,may enjoying sochi winter games russians game,42.0,3238.0,77.0952380952381,may enjoying sochi winter games russians game,may enjoying sochi winter games russians game ,may enjoying sochi winter games russians game,[]
1583,billie holiday one powerful emotional performances ever captured video,61.25,3015.5,49.23265306122449,billie holiday one powerful emotional performances ever captured video,billie holiday one powerful emotional performances ever captured video ,billie holiday one powerful emotional performances ever captured video,[performances]
1584,hear powerful story marcy who's pursuing dreams despite odds,38.0,3257.0,85.71052631578948,hear powerful story marcy who's pursuing dreams despite odds,hear powerful story marcy who's pursuing dreams despite odds ,hear powerful story marcy who's pursuing dreams despite odds,[who]
1585,marcy's high school girl pursuing dream odds favor,32.0,3358.0,104.9375,marcy's high school girl pursuing dream odds favor,marcy's high school girl pursuing dream odds favor ,marcy's high school girl pursuing dream odds favor,[]
1586,marcy wants go college hear powerful story stands way ,30.0,3334.0,111.13333333333334,marcy wants go college hear powerful story stands way,marcy wants go college hear powerful story stands way ,marcy wants go college hear powerful story stands way ,"[marcy, college, story]"
1587,america's land opportunity right maybe much marcy ,39.0,3392.0,86.97435897435898,america's land opportunity right maybe much marcy,america's land opportunity right maybe much marcy ,america's land opportunity right maybe much marcy ,[]
1588,wants go school us really going deny that ,37.0,3216.0,86.91891891891892,wants go school us really going deny,wants go school us really going deny that ,wants go school us really going deny that ,[us]
1589,working ironworker means one woman,16.0,2966.0,185.375,working ironworker means one woman,working ironworker means one woman ,working ironworker means one woman,[ironworker]
1590,may planning enjoy winter games russians fun,57.75,2917.75,50.523809523809526,may planning enjoy winter games russians fun,may planning enjoy winter games russians fun ,may planning enjoy winter games russians fun,"[planning, enjoy]"
1591,single anymore here's special nsa boyfriend ,56.0,2899.75,51.78125,single anymore here's special nsa boyfriend,single anymore here's special nsa boyfriend ,single anymore here's special nsa boyfriend ,[]
1592,a smart satirical look development really world,63.0,2871.0,45.57142857142857,smart satirical look development really world,a smart satirical look development really world ,a smart satirical look development really world,[development]
1593,see 'development' messing tribal people's rights,24.0,2954.0,123.08333333333333,see 'development' messing tribal people's rights,see 'development' messing tribal people's rights ,see 'development' messing tribal people's rights,[development]
1594,look white people try 'development' fail miserably,67.0,2835.0,42.3134328358209,look white people try 'development' fail miserably,look white people try 'development' fail miserably ,look white people try 'development' fail miserably,[people]
1595,hear somebody ironworker imagine be ,18.0,2914.0,161.88888888888889,hear somebody ironworker imagine,hear somebody ironworker imagine be ,hear somebody ironworker imagine be ,[ironworker]
1596,jobs like usually done men that s changing bravo ,15.0,2897.0,193.13333333333333,jobs like usually done men changing bravo,jobs like usually done men that s changing bravo ,jobs like usually done men that s changing bravo ,"[jobs, that]"
1597,she s ironworker there s way i d guts does ,27.0,2833.0,104.92592592592592,ironworker way guts,she s ironworker there s way i d guts does ,she s ironworker there s way i d guts does ,"[she, guts]"
1598,debate vaccines looks completely nutty see what's happened last years,73.5,2987.0,40.63945578231292,debate vaccines looks completely nutty see what's happened last years,debate vaccines looks completely nutty see what's happened last years ,debate vaccines looks completely nutty see what's happened last years,[vaccines]
1599,people say yes vaccines others much how's worked us last years ,56.0,2856.0,51.0,people say yes vaccines others much how's worked us last years,people say yes vaccines others much how's worked us last years ,people say yes vaccines others much how's worked us last years ,"[people, vaccines]"
1600,front lawns really costing lot afford,30.0,2280.0,76.0,front lawns really costing lot afford,front lawns really costing lot afford ,front lawns really costing lot afford,[lawns]
1601,preventable diseases slammed door long time ago they're baaaack,34.0,2952.0,86.82352941176471,preventable diseases slammed door long time ago they're baaaack,preventable diseases slammed door long time ago they're baaaack ,preventable diseases slammed door long time ago they're baaaack,"[diseases, they]"
1602,bet thought whooping cough awhile here's map says should ,47.0,2908.0,61.87234042553192,bet thought whooping cough awhile here's map says,bet thought whooping cough awhile here's map says should ,bet thought whooping cough awhile here's map says should ,"[bet, map]"
1603,favorite new statistics say take friday work forever ,48.0,2516.0,52.416666666666664,favorite new statistics say take friday work forever,favorite new statistics say take friday work forever ,favorite new statistics say take friday work forever ,[statistics]
1604,statistics make say take friday work forever ,60.0,2540.0,42.333333333333336,statistics make say take friday work forever,statistics make say take friday work forever ,statistics make say take friday work forever ,"[statistics, say]"
1605,statistics say take friday work fridays forever ever ,89.8,5336.0,59.42093541202673,statistics say take friday work fridays forever ever,statistics say take friday work fridays forever ever ,statistics say take friday work fridays forever ever ,[statistics]
1606,good math every day oh walking metal ,22.0,3059.0,139.04545454545453,good math every day oh walking metal,good math every day oh walking metal ,good math every day oh walking metal ,[]
1607,good math every day oh walking metal beams stuff ,21.0,2966.0,141.23809523809524,good math every day oh walking metal beams stuff,good math every day oh walking metal beams stuff ,good math every day oh walking metal beams stuff ,[beams]
1608,difference planting lawn garden million gallons gas all ,35.0,2320.0,66.28571428571429,difference planting lawn garden million gallons gas,difference planting lawn garden million gallons gas all ,difference planting lawn garden million gallons gas all ,[]
1609,know work buildings city goes anyone else check safety ,13.0,3005.0,231.15384615384616,know work buildings city goes anyone else check safety,know work buildings city goes anyone else check safety ,know work buildings city goes anyone else check safety ,"[city, anyone]"
