,headline
7167,is the sesame street muppet gang actually behind bars or are they just the best 
7168,watch kids facing scary problems get help from an unexpected crew of furry friends 
7169,can you guess what amazing thing cookie monster did to end up in jail 
7170,spoken word schooled the harsh truth of politics that you didn t learn in class 
7171,a poet s got some things to say about congress what rhymes with we re screwed 
7172,a poet with a healthy dose of passion is going to teach you the politics you never learned in class 
7173,someone gave a guy a megaphone and you ll be awed by what he did with it 
7174,what s got these th graders drooling it s not braces and it s not justin beiber 
7175,what s got these year olds graders drooling it s not braces and it s not justin beiber 
7176,can you guess why these th graders are drooling hint it s not because of justin beiber 
7177,i can t believe these th graders are drooling over something other than justin beiber 
7178,she s so full of awesome that even the queen recognized it 
7179,cookie monster is in jail i m actually really happy about the reason why 
7180,hold up cookie monster is in jail i m actually really happy about the reason why 
7181,cookie monster is in jail i m actually really happy about the reason why 
7182,hold up cookie monster is in jail i m actually really happy about the reason why 
7183,when is a confession not a confession when someone holds a lighter to your balls 
7184,you ve heard about the ira but have you heard about their best recruitment vehicle 
7185,children and lives destroyed by police in northern ireland where s the outrage 
7186,profiling and police brutality i guess it s not just an american problem after all 
7187,watch out no child left behind this teenager is coming for you 
7188,wow a teenager just dropped the hammer on bad education policy 
7189,he s infectious and amazing i m swooning and i m feeling a little cougarish 
7190,a lawyer gets doctors to write prescriptions filled by college students no really 
7191,imagine if doctors prescribed heat in the winter and food for hunger 
7192,this woman used what she learned from march madness to break the cycle of poverty 
7193,how to win a court case and change health care by gluing roaches to a poster 
7194,grab your kleenex pull up a chair and be prepared to be inspired by this nine year old 
7195,meet a year old girl who is not only remarkably successful but incredibly thoughtful too 
7196,meet sarah she s fantabulous and she s making the world a better place one cupcake at a time 
7197,sniffles alert the most impossible family portrait i ve ever seen 
7198,happy stifled tears alert the most impossible family portrait i ve ever seen 
7199,the most impossible family portrait i ve ever seen 
7200,tiny tears of happiness alert the most impossible family portrait i ve ever seen 
7201,this teenaged girl just took high school science fairs to a whole new level 
7202,this teenaged girl just took high school science fairs to a whole new level 
7203,this teenaged girl just took high school science fairs to a whole new level 
7204,this teenaged girl just took high school science fairs to a whole new level 
7205,this teacher made her rd graders hate each other for the best reason imaginable 
7206,this teacher made her rd graders hate each other for the best reason imaginable 
7207,this amazing teacher made her rd graders hate each other for the best reason imaginable 
7208,one columnist s shockingly simple advice to a girl suffering from sexist name calling 
7209,this teacher made her rd grade kids hate each other for the best reason imaginable 
7210,this teacher made her rd graders hate each other for the best reason ever 
7211,the most improbable family portrait i ve ever seen 
7212,really safe for work the most improbable family portrait i ve ever seen 
7213,an american system that is truly completely and entirely refusing to give kids a second chance 
7214,off the jungle gym and into the jail cell looks like that s the case for kids 
7215,these facts scare the crap out of me and they should scare the crap out of you too 
7216,nope you can t just put a cartoon band aid on these kids mistakes 
7217,no matter your stance on war this moment deserves an about damn time 
7218,no matter your stance on war this moment deserves an about damn time 
7219,no matter your stance on war this moment deserves an about damn time 
7220,no matter your stance on war this moment deserves an about damn time 
7221,these facts scare the crap out of me and they should scare the crap out of you too 
7222,these facts scare the hell out of me and they should scare the hell out of you too 
7223,these facts scare the bejeezus out of me and they should scare the bejeezus out of you too 
7224,these facts scare the pants off me and they should scare the pants off you too 
7225,an unforgettable act of forgiveness in minute 
7226,the one thing you would never expect someone to say to the man who murdered his child 
7227,an unforgettable act of forgiveness in minute 
7228,the one thing you would never expect someone to say to the man who murdered his child 
7229,the one thing you would never expect someone to say to the man who murdered his child 
7230,the one thing you would never expect someone to say to the man who murdered his child 
7231,the one thing you would never expect someone to say to the man who murdered his child 
7232,we ll look back at this in years time and be embarrassed as hell it even existed 
7233,women you are amazing and not invisible and this artist has a big way of showing that 
7234,someone online said that this is feminist crap so of course now you need see why they re wrong 
7235,someone online said that this is feminist crap so of course now you need see why they re wrong 
7236,women you are amazing and not invisible and this artist has a big way of showing that 
7237,we ll look back at this in years time and be embarrassed as hell it even existed 
7238,we ll look back at this in years time and be embarrassed as hell it even existed 
7239,we ll look back at this in years time and be embarrassed as hell it even existed 
7240,wow supreme court have made millions of us very very happy 
7241,hey prop don t let the door of equality smack you on the ass on the way out 
7242,what would the world be like if the word slut were actually a compliment 
7243,the three adorable things that james gandolfini was afraid of you may remember him differently now 
7244,the adorable things that james gandolfini was afraid of you may remember him differently now 
7245,the three adorable things that james gandolfini was afraid of you may remember him differently now 
7246,the three adorable things that james gandolfini was afraid of you may remember him differently now 
7247,the three adorable things that james gandolfini was afraid of you may remember him differently now 
7248,no matter your stance on war this moment deserves an about damn time 
7249,no matter your stance on war this moment deserves an about damn time 
7250,no matter your stance on war this moment deserves an about damn time 
7251,no matter your stance on war this moment deserves an about damn time 
7252,a brave fan asks patrick stewart a question he doesn t usually get and is given a beautiful answer 
7253,a brave fan asks patrick stewart an unusual question and is given a raw and emotional answer 
7254,a brave fan asks patrick stewart a question he doesn t usually get and is given a wonderful answer 
7255,a brave fan asks patrick stewart a question he doesn t usually get and is given a beautiful answer 
7256,no matter your stance on war this moment deserves an about damn time 
7257,no matter your stance on war this moment deserves an about damn time 
7258,whatever your take on combat this moment deserves an about damn time 
7259,about damn time no matter your position on combat 
7260,if a graffiti artist and a history teacher had a baby it would be this video 
7261,if a graffiti artist and a history teacher had a baby it would be this video 
7262,if a graffiti artist and a history teacher had a baby it would be this video 
7263,if a graffiti artist and a history teacher had a baby it would be this video 
7264,photographer sick of fashion reframes his idea of beauty with gorgeous results 
7265,photographer sick of fashion reframes his idea of beauty with lovely results 
7266,photographer tired of fashion reframes his idea of beauty with gorgeous results 
7267,photographer who is sick of fashion reframes his idea of beauty with gorgeous results 
7268,anyone who doesn t see real love looking at this wedding video needs to consult an optometrist 
7269,after you watch ellen s wedding video you ll wonder what s law got to do with it 
7270,love is a many splendored thing it s the gorgeous rose that grows in lesbian spring 
7271,i guarantee more aww from this wedding video than a picture of a dog hugging a cat 
7272,after such a godawful war this moment deserves an about damn time 
7273,after such a godawful war this moment deserves an about damn time 
7274,after such a godawful war this moment deserves an about damn time 
7275,after such a godawful war this moment deserves an about damn time 
7276,heartstrings alert the most improbable family portrait i ve ever seen 
7277,the most improbable and touching family portrait i ve ever seen 
7278,this is not where i expected to see unemployed folks hanging out 
7279,no job no money no problem this restaurant is happy to serve you 
7280,this place is kind of like a soup kitchen except lots of people pay to eat there 
7281,why is this restaurant trying to get unemployed people at its tables 
7282,how one homework assignment inspired this teenager to build an entire home 
7283,this teenager watched his father rebuild the family home after a fire that gave him an idea 
7284,it s a mobile home it s a treehouse it s a solution to the housing and financial crises 
7285,most kids are learning multiplication at this one already knows how to treat people equally 
7286,love it if this is what we can expect from the next generation i m not so scared about the future 
7287,ladies here s a tip if your friends are calling you a slut they might not be your friends 
7288,a guy who s suffered his share of name calling has some comforting words for women 
7289,turns out you can use twitter for something other than cat memes and instagram selfies 
7290,did you know it s politicians job to represent you maybe it s time to remind them 
7291,here are some tips for reaching out to your elected officials hint ricin is not the answer 
7292,in a time of epic laziness one citizen dared to go where few others will political action land 
7293,here s how doma is like that awkward person at the end of a party who just won t leave 
7294,imagine doma is an ugly anti gay piñata we ve only destroyed it s head 
7295,a state by state guide that shows how doma is still trying to ruin everyones fun 
7296,omg i just spotted doma over there gee it s super awkward he s still here 
7297,a teen watched us tank the american economy and thought to himself yeah no thanks 
7298,people love to talk about whats wrong with the school system but this famous writer nails it 
7299,i never thought i d see something so hardcore on sesame street s lesson plan 
7300,sesame street takes the phrase educational programming to a whole new level 
7301,can you tell me how to get how to get to jail 
7302,whoa apparently no topic is off limits for sesame street 
7303,forget inspiration one guy just wants clean food and an answer 
7304,quaker oats just got served and i m not talking about a bowl of oatmeal 
7305,you can find inspiration in granola on facebook you can find out what s actually in it on twitter 
7306,social media smackdown the what s in my food edition quote me on facebook answer me on twitter 
7307,quaker oats just got served and i m not talking about a bowl of oatmeal 
7308,social media smackdown the wtf is in my food edition 
7309,watching people disrobe has never been this disturbing 
7310,watching people disrobe has never been this disturbing 
7311,watching people disrobe has never been this disturbing 
7312,watching people disrobe has never been this disturbing 
7313,this video celebrating pride is like a unicorn leaping into a pool full of skittles 
7314,youtube celebrates those wonderful individuals who bravely shared their pride with the world 
7315,doma is donezo youtube commemorates the viral videos that changed the world 
7316,the internet changed the world for the better here s proof 
7317,this video celebrating gay pride proves once again that the internet can and will change the world 
7318,they left to fight for us and came back with no answers 
7319,this is exactly how long it takes for us to help those who fought so hard for us 
7320,over half a million of america s greatest heroes are waiting in the dark with no answer 
7321,they waited over days for someone to answer their question can you imagine that 
7322,one more tiny reason to hate your high school gym coach 
7323,this adorable year old won a case that will change the lives of thousands 
7324,why in the world did this adorable little girl have to fight so darn hard just to just a bathroom 
7325,this court case is a huge victory for equal rights and it s about bathrooms 
7326,wow this elementary school was horrible to a little girl what she did about it was equalitastic 
7327,don t worry nobody s trying to take away your right to vote except in these cases 
7328,what will a world without voting rights look like funny we already know 
7329,the secret behind the supreme court s vra decision black people were getting too good at voting 
7330,supreme court racism is pretty much over right 
7331, brb just going on vacation forever america s voting rights 
7332,they re expected to stand in line for how long not even bielebers would wait for that long 
7333,why is it i always see the same people blocking the same rights over and over again 
7334,that thing that let s you contribute a say to society that may soon be super hard to do 
7335,supreme court racism is pretty much over right 
7336,supreme court racism is pretty much over right 
7337,supreme court racism is pretty much over right 
7338,supreme court racism is pretty much over right 
7339,why is it i always see the same people blocking the same rights over and over again 
7340, insert yet another headline about politicians trying to discriminate against black people here 
7341,if only there was a way to vote against these guys for being jackasses 
7342,you re waiting for the end racism in that line too sorry that s gunna be a much longer wait 
7343,one more tiny reason to hate your high school gym coach 
7344,hey look it s the same people who are blocking the same rights again and again 
7345,hey look it s the same people who are blocking the same rights again and again 
7346,hey look it s the same people who are blocking the same rights again and again 
7347,and you thought jocks had it good in high school 
7348,if you wrote a letter to your year old self would it sound a bit like these 
7349,what would suburbia look if it had the same water resources as africa 
7350,we all made mistakes in middle school we just have to make sure we learn from them 
7351,some beautiful proof that we don t always get the be a good person thing right the first time 
7352,if we could have a chat with our year old selves could we prevent bullying 
7353,justice is blind i don t think this year old s mama that caught this on a cell phone agrees 
7354,its completely ok to be mortified by what you see in this footage as long as you help stop it 
7355,see this is what watching too many high octane clint eastwood police movies does to some police 
7356,death defying officer saves beachgoers from a criminally terrifying stare 
7357,ladies we really need to stop doing this to ourselves 
7358,a female comedian made a public service announcement for women watch it then watch yourself 
7359,here s something you would never catch men doing in a million years 
7360,this comedian is going to teach you how to take a compliment even if it kills her 
7361,american television is coming up rainbows and i m not the only one happy about it 
7362,who knew that pam and tara making out on true blood actually helped change the world 
7363,we re here we re queer and yay america is getting used to it 
7364,tv s acceptance black and white to technicolor to rainbows to 
7365,why the religion of positive thinking needs to be burned at the stake 
7366,why the religion of positive thinking needs to be burned at the stake 
7367,why the religion of positive thinking needs to be burned at the stake 
7368,what would suburbia look if it had the same water resources as africa 
7369,what would suburbia look if it had the same water resources as africa 
7370,what would suburbia look if it had the same water resources as africa 
7371,why the religion of positive thinking needs to be burned at the stake 
7372,this kid s scary personification of depression gives me chills 
7373,could you love a country we have grown to fear after this video you just might 
7374,look past the headlines and into the eyes of this country we have learned to fear 
7375,what would this combat zone be like without the combat 
7376,a film is so powerful it didn t need words say hello to afghanistan 
7377,this kid s scary personification of depression gives me chills 
7378,we should be appalled at the routine that this tv star has to go through because he lives in america 
7379,what this father taught his son to keep him safe isn t just terrifying it s necessary 
7380,how the host of reading rainbow avoids getting shot by cops on a regular basis 
7381,now that racism is over what else is there to talk about 
7382,the supreme court s decision on the voting rights act dismantled in words 
7383,know an american who thinks we re equal show them what this guy does when he s stopped by a cop 
7384,know an american who thinks we re equal show them what this guy does when he s stopped by a cop 
7385,know an american who thinks we re equal show them what this guy does when he s stopped by a cop 
7386,know an american who thinks we re equal show them what this guy does when he s stopped by a cop 
7387,usually farmers aren t considered the bad guys but most of them aren t illegally growing pot 
7388,nature loving stoners take an extra big hit illegal pot farming is a major downer 
7389,these words children learn can last them a lifetime 
7390,is smoking weed harmful i say probably not but the way some guys are growing it sure is 
7391,why care about this totally unsexy issue because money that s why 
7392,if the sciences were drugs this video would be heroin and bill nye is the dealer 
7393,bill nye only needs his voice and a killer video montage to change your career 
7394,bill nye s velvet smooth voice stars in a mentally overwhelming science video montage 
7395,give bill nye and this overwhelming video montage seconds to get you thinking about the universe 
7396,the law no lawyer or judge will tell you about that could get you kicked off a jury 
7397,the law no lawyer or judge will tell you about that could get you kicked off a jury 
7398,the law no lawyer or judge will tell you about that could get you kicked off a jury 
7399,the law no lawyer or judge will tell you about that could get you kicked off a jury 
7400,a ukrainian protester explains that she just wants the freedom to have a normal life 
7401,forecast calls for partly cloudy and a whole hell of a lot of dust 
7402,while we take curioisty for granted these women defied what was expected of them to become explorers 
7403,let s take a moment to appreciate bad ass women explorers 
7404,these extremely important graphs make me question the justice in the system 
7405,russia may be imprisoning people for horrible reasons but we re beating them in numbers 
7406,here s something the us is creaming other countries in but it s definitely not a race 
7407,zombie brains and peaceniks that s what having sex turns us all into 
7408,during sex apparently women become zombie like and men are less aggressive hey blame the brain 
7409,why do they say the brain is the body s biggest sex organ it s simple brains love having sex 
7410,hey remember sexism good thing that s over right oh wait 
7411,can you imagine waiting your entire life to hold hands in public 
7412,pda bring it on they earned it 
7413,you can t get more traditional than spending years together 
7414,he waited a lifetime to hold hands in public 
7415,the awkward times experts shut down news anchors by being experts 
7416,propublica s musical history of the super pac is freaking outstanding 
7417,a musical explanation of why you re about to see so many awful midterm elections ads 
7418,a musical explanation of where most of those terrible political ads come from 
7419,what is up with this right to work stuff anyway 
7420,they call this right to work but it s more like right to shirk see what i did there 
7421,it used to be that if you didn t pay your dues you were considered a bum 
7422,remember the kid who used to try to get out of paying his own way even though he had the money 
7423,remember the kid who used to try to get out of paying his own way even though he had the money 
7424,i ve committed some of these crimes too i ve just been lucky enough to not get caught 
7425,these criminals never got caught but how different would their lives have been if they had 
7426,think the secrets these people are spilling are no big deal others have been locked up for less 
7427,if a movie doesn t pass these simple questions hollywood needs to sort itself out 
7428,what the bechdel test is and why every movie in hollywood needs to pass it 
7429,do women have a conversation about anything other than men no then it fails this test 
7430,women in movies always talk about men if they don t why do so many films fail this test 
7431,one big reason the hobby lobby birth control case matters to all women and those that love them 
7432,what s the best way to win a marathon get a year head start 
7433,know that really catchy song home here s the most heart breaking cover of it i ve ever heard 
7434,know that really catchy song home here s the most heart wrenching cover of it i ve ever heard 
7435,hateful religious stereotypes shattered by two girls and one ridiculously amazing performance 
7436,denzel once turned down a movie role so racist he thinks it could have changed his career 
7437,denzel once turned down a movie role so racist he thinks it could have changed his career 
7438,denzel once turned down a movie role so racist he thinks it could have changed his career 
7439,denzel once turned down a movie role so racist he thinks it could have changed his career 
7440,two guys explain clearly how we now know the big bang actually happened 
7441,fighting drove them from their homes now food is pushing them even further 
7442,the most honest and evil company ad i have ever laid my eyes on also the crudest 
7443,the most honest and evil company ad i have ever laid my eyes on also the rudest 
7444,google has a funny way of erasing all of the moments in women s history with just letters 
7445,having a bad day these adorable kids are here to remind you of some things 
7446,never before have i seen such a cute and uplifting video of a big company actually doing good stuff 
7447,wow it s unbelievably important that we aim for these things 
7448,think the world is full of suck don t forget that these amazing things could actually be possible 
7449,want to live in a better world me too let s get on that 
7450,i don t know about you but i definitely want to live in a world like this 
7451,google has a funny way of erasing all of the moments in women s history with just letters 
7452,google has a funny way of erasing all of the moments in women s history with just letters 
7453,google has a funny way of erasing all of the moments in women s history with just letters 
7454,google has a funny way of erasing all of the moments in women s history with just letters 
7455,a controversial episode with harrison ford and don cheadle that will haunt you make the time 
7456,a controversial episode with harrison ford and don cheadle that will haunt you make the time 
7457,watch a hilarious actress shut down people s body shaming comments about her outfits 
7458,when our stomachs growl we can usually answer with food when their stomachs growl they can t 
7459,there s a country on the brink of catastrophe that most of the world hasn t even heard of 
7460,he s called rain man because of his brilliant idea it could help a whole lot of people 
7461,listen to why these good samaritans helped a poor grandma pay for her medication 
7462,a former meth addict has something to say about the war on drugs 
7463,the fastest way to fix drug addicts is actually the opposite of prison 
7464, million people are in prison on parole or on probation because of drugs what color are they 
7465,the rest of the world gets why the war on drugs doesn t work so why don t we 
7466,one of the most brilliant ways ever invented to discriminate based on skin color the war on drugs 
7467,why the war on drugs is the most racist attack we ve seen in this country for decades 
7468,remember apartheid in south africa we have our own version right here 
7469,one of the most brilliant ways ever invented to discriminate based on skin color the war on drugs 
7470,the photojournalist who happened upon the worst disaster in the history of the clothing industry 
7471,the photojournalist who happened upon the worst disaster in the history of the clothing industry 
7472,when people say if you don t like it here go to another country i d love to offer this one 
7473,when people say if you don t like it here go to another country i d love to offer this one 
7474,when people say if you don t like it here go to another country i d love to offer this one 
7475,there s a country on the brink of catastrophe that most of the world hasn t even heard of 
7476,there s a country on the brink of catastrophe that most of the world hasn t even heard of 
7477,there s a country on the brink of catastrophe that most of the world hasn t even heard of 
7478,there s a country on the brink of catastrophe that most of the world hasn t even heard of 
7479,there s a country on the brink of catastrophe that most of the world hasn t even heard of 
7480,there s a country on the brink of catastrophe that most of the world hasn t even heard of 
7481,saudi arabia is trying their damndest to keep videos like this from showing up on facebook 
7482,some women got tired of the world ignoring their problems so they fixed it themselves 
7483,some women got tired of the world ignoring their problems so they fixed it themselves 
7484,some women got tired of the world ignoring their problems so they fixed it themselves 
7485,that one time a cartoon punched fake science in the face with actual facts 
7486,take a shot of this and be immune to bad science win win 
7487,shots are totes scary but so s living like it s 
7488,a bunch of folks aren t doing one simple thing and it s bringing us back to s 
7489,that one time a cartoon punched fake science in the face with actual facts 
7490,that one time a cartoon punched fake science in the face with actual facts 
7491,that one time a cartoon punched fake science in the face with actual facts 
7492,why are all these rich people eating my pie 
7493, percent of us households are fighting over one tiny slice of pie 
7494,i never thought a slice of pie would make me so angry 
7495,a dude with some pie and a lesson that s as heavy as the pie is in calories 
7496, percent of us households are fighting over one tiny slice of pie 
7497,this school struggled with detentions so they asked for the students help guess what it s working 
7498,this school struggled with detentions so they asked for the students help guess what it s working 
7499,why we need more women in science technology electronics and math 
7500,why we need more women in science technology electronics and math 
7501,why we need more women in science technology electronics and math 
7502,why we need more women in science technology electronics and math 
7503,why we need more women in science technology electronics and math 
7504,two very powerful women are asked about double standards their responses not shocking 
7505,keystone doesn t want to tell us these things about that big pipeline they want to build 
7506,what would you say in a commencement address 
7507,if you were giving a commencement address would it include wear sunscreen 
7508,what life advice do you have for the the class of 
7509,meet carter she s a scientist helping to figure out how we can get past our oil addiction 
7510,the history textbook entry on president obama should probably include these unflattering facts 
7511,the history textbook entry on president obama should probably include these unflattering facts 
7512,the history textbook entry on president obama should probably include these unflattering facts 
7513,is this how we ll remember president obama 
7514,this year old pedophile would never go near a child and he needs you to hear his story 
7515,beautiful web comic illustrating perhaps the nicest thing richard dawkins has ever said 
7516,a billionaire has the audacity to suggest that we be more responsible about the environment 
7517,a man gets slapped stuffed with cigarettes forcefully shaved taped up and all to make a point 
7518,a man gets slapped stuffed with cigarettes forcefully shaved taped up and all to make a point 
7519,a man gets slapped stuffed with cigarettes forcefully shaved taped up and all to make a point 
7520,a man gets slapped stuffed with cigarettes forcefully shaved taped up and all to make a point 
7521,organic foods are all the rage now and it s a bad thing 
7522,a man falls down and cries for help twice the second time my jaw drops 
7523,the only gender stereotype joke i ve heard that s actually funny 
7524,a woman shares her day through google glass it seems lovely and ordinary until the end 
7525,google has a funny way of erasing all of the moments in women s history with just letters 
7526,carl sagan s take on an afterlife is delicate and inspiring 
7527,the most honest and evil company ad i have ever laid my eyes on also the rudest 
7528,two simple cartoons one exceedingly important statement on how we treat women 
7529,google has a funny way of erasing all of the moments in women s history with just letters 
7530,when he googled newscasters two results were wikipedia entries it was the other three scared him 
7531,you made this year old s story so big even a federal judge noticed 
7532, really cool science things i didn t know about my gay friends genetic code 
7533,this video is pretty silly but maybe the silly part is that sad desk lunch is really a thing 
7534,your excel spreadsheet doesn t remember that joke you told years ago 
7535,the difference between glass half full and glass half empty for the 
7536,comedian wants to know if a vegan diet can still get you all ripped in the gym and so do i 
7537,but teacher when will i ever have to use math in real life 
7538,if cliven bundy was anything but white he d be in prison right now or worse 
7539,why are all these rich people eating my pie 
7540,did you know being in love does awesome things to your brain 
7541,you watched a clip on upworthy and then it won a f ing oscar 
7542,when you look at the big picture affirmative action totally makes sense 
7543,did you know a brain on love looks a lot like a brain on cocaine 
7544,a study i can get behind taking breaks is good for productivity 
7545,so i guess we could all go to school and become ceos 
7546, most mosquitoes don t bite and other facts that still make you hate mosquitoes 
7547,when frat bros gather to watch girls make out they end up crying 
7548,more and more pregnant women are being misled about life 
7549,here s how one cook is transforming how people on food stamps eat dinner 
7550,when frat bros gather to watch girls make out they end up being sensitive gentlemen 
7551,the one where a kid says what everyone else is thinking when someone gets bullied 
7552,what happens when a government decides to destroy the lives of people they fight back 
7553,a kid grows up with gay parents this is a snapshot of what life in their home looks like 
7554,if somebody actually asked me what up with that womb i would probably lose it 
7555,have you ever noticed the difference between same sex kisses in mainstream movies 
7556,have you ever noticed the difference between same sex kisses in mainstream movies 
7557,have you ever noticed the difference between same sex kisses in mainstream movies 
7558,you know that house on the corner that man with the cats lived in yep talkin about that one 
7559,you want me to do that in public just to feel happy lmao science the things you come up with 
7560,another city is headed for hr minimum wage 
7561,working in one city might mean a living wage very soon and the business owners are onboard too 
7562,so that s why video games have gotten so boring and repetitive 
7563,how many trees could you save with all that newspaper and junk mail 
7564,the music industry asked him to change word in his songs just listen to his response 
7565,the reason these guys are extra cautious around black people isn t as simple as you might think 
7566,their parents were right to raise these comedians to believe in themselves and ignore everyone else 
7567,these kids ride in a real life magic school bus 
7568,the simple truths of john lennon s classic imagine illustrated and in color 
7569,find out the three simple words that can stop a harasser dead in his tracks 
7570,one quote from abraham lincoln might just surprise you but it s real 
7571,a reporter accused her of teaching hate to children her reply is angry and haunting and perfect 
7572,school s out so why are they still dreaming about that crazy cafeteria food 
7573,interesting things happen when black girls date white guys or asian guys or latin guys or 
7574,meet a boss who actually likes to pay his staff what they are worth 
7575,one brilliant kid one upped a design adults have been using for decades 
7576,one brilliant kid one upped a design adults have been using for decades 
7577,whatever happened to welcoming the huddled masses yearning to be free 
7578,one brilliant kid one upped a design adults have been using for decades 
7579,if you look into their eyes as they talk about their kids it s hard not to feel it in your heart 
7580,if feminism is a word that scares you take a moment to hear from a few guys who own it 
7581,southern baptist mom answers bigot s questions with real talk 
7582,questions you should never ask your biracial bestie unless you want these priceless responses 
7583,what to do when your country s been at war for your entire life break out some music and dance 
7584,congress is lined with noise canceling dollars that s why they can t hear you 
7585,how do you make a drilling rig cute i don t know but they figured out how to do it 
7586,surely this graph of suspended african american preschool kids can t be right no way can it 
7587,a bug s life i don t think i ve ever felt so much sympathy for an insect 
7588, minute of brilliance what it really meant to drop the bombs on hiroshima and nagasaki 
7589,the really weird story of the missing bees and how that could ruin your life 
7590,the really weird story of the missing bees and how that could ruin your life 
7591,if we critique frozen and it critiques fairy tales stay with me then he has a fascinating point 
7592,when he was years old her son told her that she was actually her daughter here s their story 
7593,there isn t enough hell yeah in the world for how olivia wilde responded to gq s sexist critic 
7594,it s funny because one guy is muslim and the other is jewish you ll see what i m saying 
7595,why a loving mom made a split decision to pick a pillow and use it on her son 
7596,the facsinating results of obamacare s impact on just one state 
7597,teen parents get quizzed on birth control and pregnancy myths would you pass 
7598, women one diagnoses different countries very different outcomes 
7599,dot six letters and a dash that could kill some of us 
7600,bomb trains the crude gamble of oil by rail 
7601,it s a global solar race and apparently you don t need need a ton of sun to get ahead 
7602,someone said something really racist to this guy the worst part she didn t even realize it 
7603,see why this talk show host wants haters to get off their high horses 
7604,george lopez is not shy with his opinions in this case i say keep it comin 
7605,this comedian wants certain ignorant people to stuff their junky bunk in a disappearing trunk 
7606,a talk show host drops truth that a lot of people don t want to hear people who are wrong anyway 
7607,a science dude tries these really painful and dumb things at home so you can learn you re welcome 
7608,you don t wanna be told you have the bubonic plague but that could happen or something like that 
7609,you don t wanna be told you have the bubonic plague but that could happen or something like that 
7610,the way she brushes right past delicate sex stuff and tells the truth is fierce also nsfw 
7611,i can tell you not to watch this frank sex talk at work but that doesn t mean you ll listen 
7612,there are trains exploding all over america no lie and it s partly this lady s fault 
7613,sesame street made a clip for kids who have a parent in prison it ll break your heart 
7614,if a woman doesn t want to have children there s nothing tragically wrong with her 
7615,he explains why the question what are you smoking is actually kind of important 
7616, words that leave me with no words 
7617,diseases are getting weirder because of them are coming from someplace new 
7618,this famous woman told this famous newsman just how wrong he was at the end she was so right 
7619,this famous woman told this famous newsman just how wrong he was at the end she was so right 
7620,major u s brands are leaving our shores to exploit a tax loophole and they re profiting for it 
7621,why that stuff that makes you go ewww is also known as black gold 
7622,it s dirty it s rich and you can totally make it yourself here s how 
7623,as these little yellow numbers go up and up and up the middle class is going down in flames 
7624,as these little yellow numbers go up and up and up the middle class is going down in flames 
7625,about those made up names black people give their kids sometimes 
7626, corporate inversion is tax speak for u s companies turning their backs on us 
7627,here s how you end up in prison if you re british and also a complete idiot 
7628,the better choice for what to do with that stuff you were about to throw away 
7629,it s dirty it s rich and you can totally make it yourself here s how 
7630,it s the end of the world as we know ok it s not but watching this made that song come to mind 
7631,soooo that whole climate change thing feels like it just got worse 
7632,a perfect example of how love wins gay man attacked by family the internet responds beautifully 
7633,here are facts a bunch of facts that made me want to pick up a gavel and yell i object 
7634,this woman has some legit words for anyone who has ever felt like they don t matter 
7635,she already lost someone to suicide she wrote this to encourage the rest of us to stay 
7636,we have cures for so many diseases so why are they still around 
7637,ok there are a lot of black men in prison but there s a reason for that 
7638,a dad took these photos of his daughter they re raising some eyebrows 
7639,a dad took these photos of his daughter they re raising some eyebrows 
7640,when a video begins with children are born homophobic it get s my attention i m glad it did 
7641,if you ve ever thought gay people should not be allowed to adopt i d encourage you to watch this 
7642,an explanation of why gay adoption or as this guy likes to call it adoption is a good idea 
7643,there needs to be a new tag on photos that says this image was altered with photoshop 
7644,an allusion that makes it clear who s fault it is that people can look at naked celebrity pictures 
7645,cha ching cha ching that s the sound of your money that s being taken totaling up 
7646,okay friends it s time we have a talk about something we re paying way too much for 
7647,why is this man having so much trouble finding what he s looking for 
7648,you may agree or you may totally disagree with these thoughts about the nude photos but it will make you think 
7649,watch scientists get auto tuned and rock out while you learn some fancy things 
7650,if you ve heard of all of these old guys then you are rockin at the science 
7651,want to get pumped to fight the most important battle of our time watch this 
7652,all of the rules women must follow in under minutes 
7653,all of the rules women must follow in under minutes 
7654,there s no way these guys gave their permission to be in this video but i doubt anyone cares 
7655,important science facts american idol edition 
7656,they were losing pretty badly so they took off their shoes and ended up in the history books 
7657,this is what happens when little boys believe that anything is possible 
7658,they were losing pretty badly so they took off their shoes and ended up in the history books 
7659,for the st seconds i m like yeah yeah what s the catch then the truth comes out 
7660,for the st seconds i m like yeah yeah what s the catch then the truth comes out 
7661,those people picketing at your local fast food joint here s why they re doing it 
7662,mcdonald s burger king and wendy s are getting a lot of press here s why 
7663,when little boys believe that anything is possible they can walk on water literally 
7664,a lot can happen when little boys believe that anything is possible 
7665,i don t want to be a creeper but i do want to tell you how you should bathe yourself for a hot date 
7666, what s this about fast food workers complainin they need to just get a jaaaaaahb oh wait 
7667, what s this about fast food workers complainin they need to just get a jaaaaaahb oh wait 
7668, what s this about fast food workers complainin they need to just get a jaaaaaahb oh wait 
7669,will raising the minimum wage mean a big mac will cost let s ask australians 
7670,she s carrying her bed with her everywhere and doesn t know when she ll stop yes there s a reason 
7671,it s such a big problem it makes my eyes glaze over but she s hilarious 
7672, reasons why fast food workers are going on strike 
7673,she stands on a box in her lingerie holding a list of the things they said to her bad ass 
7674,this kid s scary personification of depression gives me chills 
7675,this dude has a lot of rules for women i think he s right 
